Model,Target,R²,RMSE
Linear Regression,Valence,-0.370280535320747,0.18916962999651202
Linear Regression,Arousal,0.29423026440060573,0.16233714245207093
Random Forest,Valence,0.4802056216726589,0.11650980064800685
Random Forest,Arousal,0.6785912313561534,0.10955072142307073
SVR,Valence,0.4767634074812126,0.11689494324292792
SVR,Arousal,0.5958782576869508,0.1228407585947095
