Model,Target,R²,RMSE
Linear Regression,Valence,0.4527762247751492,0.8561468892439957
Linear Regression,Arousal,0.5303962978671644,0.860868570655005
Ridge,Valence,0.45399738436245496,0.8551910865641327
Ridge,Arousal,0.5293939177906453,0.861786852933458
Random Forest,Valence,0.4893709095038523,0.8270248906211572
Random Forest,Arousal,0.5322211303774977,0.859194318461549
